CASE index=22 candidate_id=32fcdad2940718f37b28acb62cef956890a0d014f02465ae9b508315f38fc94a
source=ama_bench repository=ama:babaisai task_id=1 split=test events=200
====================================================================================================
t0000:action | CALL environment_action/: up
t0086:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 1 step up ⏎ rule `stop` 1 step to the left and 1 step up ⏎ wall 3 steps to the right and 1 step up ⏎ ru …(+853ch)
t0087:action | CALL environment_action/: down
t0087:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 2 step up ⏎ rule `stop` 1 step to the left and 2 step up ⏎ wall 3 steps to the right and 2 step up ⏎ ru …(+845ch)
t0088:action | CALL environment_action/: up
t0088:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 1 step up ⏎ rule `stop` 1 step to the left and 1 step up ⏎ wall 3 steps to the right and 1 step up ⏎ ru …(+853ch)
t0089:action | CALL environment_action/: down
t0089:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 2 step up ⏎ rule `stop` 1 step to the left and 2 step up ⏎ wall 3 steps to the right and 2 step up ⏎ ru …(+845ch)
t0090:action | CALL environment_action/: down
t0090:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 3 step up ⏎ rule `stop` 1 step to the left and 3 step up ⏎ wall 3 steps to the right and 3 step up ⏎ ru …(+761ch)
t0091:action | CALL environment_action/: left
t0091:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 1 step to the left and 3 step up ⏎ rule `stop` 3 step up ⏎ wall 4 steps to the right and 3 step up ⏎ rule `door` 7 steps to th …(+740ch)
t0092:action | CALL environment_action/: left
t0092:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 1 step to the left and 3 step up ⏎ rule `stop` 3 step up ⏎ wall 4 steps to the right and 3 step up ⏎ rule `door` 7 steps to th …(+740ch)
t0093:action | CALL environment_action/: left
t0093:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 1 step to the left and 3 step up ⏎ rule `stop` 3 step up ⏎ wall 4 steps to the right and 3 step up ⏎ rule `door` 7 steps to th …(+740ch)
t0094:action | CALL environment_action/: right
t0094:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 3 step up ⏎ rule `stop` 1 step to the left and 3 step up ⏎ wall 3 steps to the right and 3 step up ⏎ ru …(+761ch)
t0095:action | CALL environment_action/: right
t0095:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 3 step to the left and 3 step up ⏎ rule `stop` 2 step to the left and 3 step up ⏎ wall 2 steps to the right and 3 step up ⏎ ru …(+758ch)
t0096:action | CALL environment_action/: right
t0096:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 4 step to the left and 3 step up ⏎ rule `stop` 3 step to the left and 3 step up ⏎ wall 1 step to the right and 3 step up ⏎ rul …(+776ch)
t0097:action | CALL environment_action/: left
t0097:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 3 step to the left and 3 step up ⏎ rule `stop` 2 step to the left and 3 step up ⏎ wall 2 steps to the right and 3 step up ⏎ ru …(+758ch)
t0098:action | CALL environment_action/: left
t0098:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 2 step to the left and 3 step up ⏎ rule `stop` 1 step to the left and 3 step up ⏎ wall 3 steps to the right and 3 step up ⏎ ru …(+761ch)
t0099:action | CALL environment_action/: left
t0099:observation | OBS : Active rules: ⏎ door is win ⏎ ball is win ⏎ baba is you ⏎ ⏎ Objects on the map: ⏎ rule `wall` 1 step to the left and 3 step up ⏎ rule `stop` 3 step up ⏎ wall 4 steps to the right and 3 step up ⏎ rule `door` 7 steps to th …(+740ch)
